time,"P(B1|X3)","P(B1|X6)","P(B2|X6)"
5.480000e-11,7.770510e-01,7.374372e-03,7.526180e-03
5.500000e-11,7.773364e-01,7.678602e-03,7.839534e-03
5.520000e-11,7.776102e-01,7.983912e-03,8.153543e-03
5.540000e-11,7.778718e-01,8.290250e-03,8.467681e-03
5.560000e-11,7.781218e-01,8.597544e-03,8.781585e-03
5.580000e-11,7.783615e-01,8.905694e-03,9.095085e-03
5.600000e-11,7.785931e-01,9.214555e-03,9.408198e-03
5.620000e-11,7.788186e-01,9.523941e-03,9.721087e-03
5.640000e-11,7.790399e-01,9.833635e-03,1.003401e-02
5.660000e-11,7.792587e-01,1.014341e-02,1.034724e-02
5.680000e-11,7.794759e-01,1.045309e-02,1.066104e-02
5.700000e-11,7.796920e-01,1.076252e-02,1.097559e-02
5.720000e-11,7.799071e-01,1.107165e-02,1.129095e-02
5.740000e-11,7.801208e-01,1.138054e-02,1.160710e-02
5.760000e-11,7.803327e-01,1.168932e-02,1.192390e-02
5.780000e-11,7.805422e-01,1.199817e-02,1.224117e-02
5.800000e-11,7.807487e-01,1.230732e-02,1.255870e-02
5.820000e-11,7.809519e-01,1.261700e-02,1.287628e-02
5.840000e-11,7.811514e-01,1.292736e-02,1.319377e-02
5.860000e-11,7.813471e-01,1.323851e-02,1.351110e-02
5.880000e-11,7.815391e-01,1.355045e-02,1.382830e-02
5.900000e-11,7.817275e-01,1.386310e-02,1.414545e-02
5.920000e-11,7.819124e-01,1.417628e-02,1.446270e-02
5.940000e-11,7.820941e-01,1.448981e-02,1.478023e-02
5.960000e-11,7.822728e-01,1.480348e-02,1.509821e-02
5.980000e-11,7.824487e-01,1.511710e-02,1.541675e-02
6.000000e-11,7.826219e-01,1.543057e-02,1.573594e-02
6.020000e-11,7.827926e-01,1.574383e-02,1.605576e-02
6.040000e-11,7.829608e-01,1.605692e-02,1.637614e-02
6.060000e-11,7.831266e-01,1.636997e-02,1.669695e-02
6.080000e-11,7.832899e-01,1.668311e-02,1.701803e-02
6.100000e-11,7.834507e-01,1.699653e-02,1.733923e-02
6.120000e-11,7.836090e-01,1.731039e-02,1.766041e-02
6.140000e-11,7.837648e-01,1.762479e-02,1.798149e-02
6.160000e-11,7.839181e-01,1.793980e-02,1.830245e-02
6.180000e-11,7.840689e-01,1.825539e-02,1.862332e-02
6.200000e-11,7.842173e-01,1.857147e-02,1.894421e-02
6.220000e-11,7.843633e-01,1.888793e-02,1.926523e-02
6.240000e-11,7.845070e-01,1.920460e-02,1.958652e-02
6.260000e-11,7.846484e-01,1.952133e-02,1.990820e-02
6.280000e-11,7.847876e-01,1.983800e-02,2.023036e-02
6.300000e-11,7.849246e-01,2.015454e-02,2.055302e-02
6.320000e-11,7.850595e-01,2.047095e-02,2.087615e-02
6.340000e-11,7.851923e-01,2.078728e-02,2.119969e-02
6.360000e-11,7.853230e-01,2.110361e-02,2.152353e-02
6.380000e-11,7.854517e-01,2.142009e-02,2.184753e-02
6.400000e-11,7.855783e-01,2.173682e-02,2.217160e-02
6.420000e-11,7.857030e-01,2.205394e-02,2.249563e-02
6.440000e-11,7.858256e-01,2.237149e-02,2.281958e-02
6.460000e-11,7.859463e-01,2.268951e-02,2.314345e-02
6.480000e-11,7.860650e-01,2.300796e-02,2.346729e-02
6.500000e-11,7.861819e-01,2.332676e-02,2.379117e-02
6.520000e-11,7.862970e-01,2.364580e-02,2.411521e-02
6.540000e-11,7.864102e-01,2.396497e-02,2.443949e-02
6.560000e-11,7.865217e-01,2.428415e-02,2.476410e-02
6.580000e-11,7.866315e-01,2.460328e-02,2.508909e-02
6.600000e-11,7.867395e-01,2.492231e-02,2.541447e-02
