time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
6.500000e-11,6.819755e-04,7.861819e-01,2.746906e-02,2.800771e-02,5.882299e-04,2.332676e-02,2.379117e-02
6.550000e-11,6.968715e-04,7.864662e-01,2.802739e-02,2.857745e-02,6.052695e-04,2.412457e-02,2.460175e-02
6.600000e-11,7.133831e-04,7.867395e-01,2.859477e-02,2.915824e-02,6.249315e-04,2.492231e-02,2.541447e-02
6.650000e-11,7.289995e-04,7.870022e-01,2.917218e-02,2.974864e-02,6.468662e-04,2.571962e-02,2.622930e-02
6.700000e-11,7.425706e-04,7.872547e-01,2.976035e-02,3.034783e-02,6.685054e-04,2.651757e-02,2.704508e-02
6.750000e-11,7.553226e-04,7.874972e-01,3.035870e-02,3.095593e-02,6.878306e-04,2.731739e-02,2.786073e-02
6.800000e-11,7.694040e-04,7.877303e-01,3.096562e-02,3.157344e-02,7.053408e-04,2.811922e-02,2.867631e-02
6.850000e-11,7.856427e-04,7.879542e-01,3.157986e-02,3.220035e-02,7.233241e-04,2.892203e-02,2.949279e-02
6.900000e-11,8.028311e-04,7.881696e-01,3.220140e-02,3.283582e-02,7.434069e-04,2.972472e-02,3.031101e-02
6.950000e-11,8.191143e-04,7.883766e-01,3.283100e-02,3.347879e-02,7.649870e-04,3.052719e-02,3.113077e-02
7.000000e-11,8.338976e-04,7.885755e-01,3.346909e-02,3.412872e-02,7.860371e-04,3.133033e-02,3.195114e-02
7.050000e-11,8.483180e-04,7.887665e-01,3.411504e-02,3.478578e-02,8.052605e-04,3.213501e-02,3.277139e-02
7.100000e-11,8.639408e-04,7.889501e-01,3.476760e-02,3.545031e-02,8.233209e-04,3.294118e-02,3.359171e-02
7.150000e-11,8.811470e-04,7.891266e-01,3.542594e-02,3.612220e-02,8.420001e-04,3.374798e-02,3.441287e-02
7.200000e-11,8.988554e-04,7.892962e-01,3.609015e-02,3.680073e-02,8.623143e-04,3.455465e-02,3.523541e-02
7.250000e-11,9.157324e-04,7.894593e-01,3.676084e-02,3.748513e-02,8.835671e-04,3.536125e-02,3.605907e-02
7.300000e-11,9.315436e-04,7.896159e-01,3.743819e-02,3.817505e-02,9.042004e-04,3.616852e-02,3.688311e-02
7.350000e-11,9.472815e-04,7.897664e-01,3.812161e-02,3.887068e-02,9.234302e-04,3.697703e-02,3.770706e-02
7.400000e-11,9.640539e-04,7.899110e-01,3.881015e-02,3.957224e-02,9.419597e-04,3.778662e-02,3.853117e-02
7.450000e-11,9.819601e-04,7.900500e-01,3.950328e-02,4.027954e-02,9.611406e-04,3.859662e-02,3.935604e-02
7.500000e-11,1.000079e-03,7.901837e-01,4.020114e-02,4.099200e-02,9.815624e-04,3.940650e-02,4.018199e-02
7.550000e-11,1.017481e-03,7.903121e-01,4.090417e-02,4.170906e-02,1.002532e-03,4.021643e-02,4.100875e-02
