time,"P(B5|X9)","P(B1|X9)","P(B3|X9)","P(B2|X11)","P(B1|X12)"
3.920000e-11,5.151655e+00,-1.196063e+00,2.673493e+00,7.844693e-01,7.812955e-01
3.940000e-11,5.593674e+00,-1.327185e+00,2.944213e+00,7.845415e-01,7.813154e-01
3.960000e-11,6.011755e+00,-1.473580e+00,3.249360e+00,7.846191e-01,7.813388e-01
3.980000e-11,6.383101e+00,-1.635479e+00,3.594120e+00,7.847010e-01,7.813650e-01
4.000000e-11,6.689860e+00,-1.812194e+00,3.982664e+00,7.847867e-01,7.813933e-01
4.020000e-11,6.921875e+00,-2.002120e+00,4.415688e+00,7.848756e-01,7.814230e-01
4.040000e-11,7.077302e+00,-2.202870e+00,4.887281e+00,7.849677e-01,7.814536e-01
4.060000e-11,7.161669e+00,-2.411464e+00,5.382588e+00,7.850633e-01,7.814847e-01
4.080000e-11,7.186189e+00,-2.624530e+00,5.878374e+00,7.851630e-01,7.815159e-01
4.100000e-11,7.165919e+00,-2.838426e+00,6.347193e+00,7.852680e-01,7.815472e-01
4.120000e-11,7.118005e+00,-3.049309e+00,6.763341e+00,7.853795e-01,7.815784e-01
4.140000e-11,7.060058e+00,-3.253163e+00,7.107663e+00,7.854994e-01,7.816097e-01
4.160000e-11,7.008638e+00,-3.445858e+00,7.369563e+00,7.856296e-01,7.816415e-01
4.180000e-11,6.977872e+00,-3.623294e+00,7.546460e+00,7.857723e-01,7.816740e-01
4.200000e-11,6.978329e+00,-3.781684e+00,7.641859e+00,7.859300e-01,7.817079e-01
4.220000e-11,7.016249e+00,-3.917944e+00,7.663228e+00,7.861054e-01,7.817439e-01
4.240000e-11,7.093277e+00,-4.030148e+00,7.620338e+00,7.863011e-01,7.817828e-01
4.260000e-11,7.206732e+00,-4.117918e+00,7.524234e+00,7.865202e-01,7.818253e-01
4.280000e-11,7.350405e+00,-4.182673e+00,7.386748e+00,7.867655e-01,7.818726e-01
4.300000e-11,7.515726e+00,-4.227648e+00,7.220260e+00,7.870400e-01,7.819256e-01
4.320000e-11,7.693101e+00,-4.257683e+00,7.037451e+00,7.873470e-01,7.819853e-01
4.340000e-11,7.873164e+00,-4.278803e+00,6.850864e+00,7.876895e-01,7.820528e-01
4.360000e-11,8.047759e+00,-4.297680e+00,6.672238e+00,7.880707e-01,7.821291e-01
4.380000e-11,8.210566e+00,-4.321037e+00,6.511734e+00,7.884936e-01,7.822154e-01
4.400000e-11,8.357383e+00,-4.355081e+00,6.377252e+00,7.889617e-01,7.823127e-01
4.420000e-11,8.486152e+00,-4.404990e+00,6.273984e+00,7.894780e-01,7.824221e-01
4.440000e-11,8.596823e+00,-4.474485e+00,6.204299e+00,7.900458e-01,7.825445e-01
4.460000e-11,8.691142e+00,-4.565477e+00,6.167920e+00,7.906686e-01,7.826810e-01
4.480000e-11,8.772400e+00,-4.677806e+00,6.162333e+00,7.913497e-01,7.828326e-01
4.500000e-11,8.845179e+00,-4.809075e+00,6.183320e+00,7.920931e-01,7.830003e-01
4.520000e-11,8.915085e+00,-4.954644e+00,6.225556e+00,7.929026e-01,7.831852e-01
4.540000e-11,8.988489e+00,-5.107857e+00,6.283192e+00,7.937831e-01,7.833882e-01
4.560000e-11,9.072252e+00,-5.260557e+00,6.350392e+00,7.947397e-01,7.836104e-01
4.580000e-11,9.173464e+00,-5.403916e+00,6.421780e+00,7.957790e-01,7.838532e-01
4.600000e-11,9.299199e+00,-5.529485e+00,6.492767e+00,7.969086e-01,7.841177e-01
4.620000e-11,9.456278e+00,-5.630322e+00,6.559755e+00,7.981382e-01,7.844057e-01
4.640000e-11,9.651009e+00,-5.701995e+00,6.620198e+00,7.994794e-01,7.847187e-01
4.660000e-11,9.888769e+00,-5.743292e+00,6.672562e+00,8.009468e-01,7.850591e-01
4.680000e-11,1.017325e+01,-5.756536e+00,6.716194e+00,8.025580e-01,7.854293e-01
4.700000e-11,1.050516e+01,-5.747436e+00,6.751138e+00,8.043347e-01,7.858326e-01
4.720000e-11,1.088032e+01,-5.724513e+00,6.777941e+00,8.063034e-01,7.862726e-01
4.740000e-11,1.128783e+01,-5.698140e+00,6.797469e+00,8.084956e-01,7.867543e-01
4.760000e-11,1.170925e+01,-5.679299e+00,6.810742e+00,8.109495e-01,7.872832e-01
4.780000e-11,1.212035e+01,-5.678210e+00,6.818814e+00,8.137106e-01,7.878664e-01
4.800000e-11,1.249508e+01,-5.702982e+00,6.822683e+00,8.168326e-01,7.885123e-01
4.820000e-11,1.281039e+01,-5.758481e+00,6.823233e+00,8.203791e-01,7.892312e-01
4.840000e-11,1.304994e+01,-5.845556e+00,6.821209e+00,8.244243e-01,7.900353e-01
4.860000e-11,1.320586e+01,-5.960779e+00,6.817206e+00,8.290544e-01,7.909391e-01
4.880000e-11,1.327864e+01,-6.096754e+00,6.811678e+00,8.343686e-01,7.919600e-01
4.900000e-11,1.327604e+01,-6.243009e+00,6.804951e+00,8.404805e-01,7.931181e-01
4.920000e-11,1.321149e+01,-6.387345e+00,6.797250e+00,8.475195e-01,7.944372e-01
4.940000e-11,1.310246e+01,-6.517410e+00,6.788726e+00,8.556327e-01,7.959448e-01
4.960000e-11,1.296868e+01,-6.622219e+00,6.779488e+00,8.649875e-01,7.976726e-01
4.980000e-11,1.283031e+01,-6.693409e+00,6.769641e+00,8.757755e-01,7.996574e-01
5.000000e-11,1.270604e+01,-6.726082e+00,6.759314e+00,8.882167e-01,8.019413e-01
5.020000e-11,1.261136e+01,-6.719216e+00,6.748701e+00,9.025653e-01,8.045726e-01
5.040000e-11,1.255726e+01,-6.675668e+00,6.738084e+00,9.191148e-01,8.076067e-01
5.060000e-11,1.254955e+01,-6.601798e+00,6.727849e+00,9.382013e-01,8.111070e-01
5.080000e-11,1.258870e+01,-6.506738e+00,6.718492e+00,9.602058e-01,8.151459e-01
5.100000e-11,1.267040e+01,-6.401379e+00,6.710607e+00,9.855530e-01,8.198058e-01
5.120000e-11,1.278648e+01,-6.297162e+00,6.704856e+00,1.014711e+00,8.251797e-01
5.140000e-11,1.292631e+01,-6.204845e+00,6.701920e+00,1.048192e+00,8.313728e-01
5.160000e-11,1.307827e+01,-6.133415e+00,6.702441e+00,1.086561e+00,8.385029e-01
5.180000e-11,1.323124e+01,-6.089277e+00,6.706957e+00,1.130451e+00,8.467027e-01
5.200000e-11,1.337569e+01,-6.075803e+00,6.715829e+00,1.180595e+00,8.561214e-01
5.220000e-11,1.350446e+01,-6.093242e+00,6.729192e+00,1.237869e+00,8.669277e-01
5.240000e-11,1.361299e+01,-6.138949e+00,6.746908e+00,1.303346e+00,8.793144e-01
5.260000e-11,1.369920e+01,-6.207884e+00,6.768555e+00,1.378363e+00,8.935039e-01
5.280000e-11,1.376312e+01,-6.293307e+00,6.793436e+00,1.464567e+00,9.097550e-01
5.300000e-11,1.380633e+01,-6.387593e+00,6.820624e+00,1.563941e+00,9.283701e-01
5.320000e-11,1.383146e+01,-6.483056e+00,6.849034e+00,1.678780e+00,9.497020e-01
5.340000e-11,1.384172e+01,-6.572704e+00,6.877504e+00,1.811621e+00,9.741594e-01
5.360000e-11,1.384051e+01,-6.650810e+00,6.904904e+00,1.965168e+00,1.002211e+00
